Timestamp,Source_IP,Destination_IP,Prediction,Confidence_Score,Detection_Time_ms,Mitigation_Time_ms,Action_Taken
2026-05-24T22:42:42.903101,10.0.102.38,victim,DDoS,0.8600,26.92,0.19,"DROP_RULE_INSTALLED(ip=10.0.102.38, priority=100, timeout=300s)"
2026-05-24T22:42:42.934606,10.0.190.13,victim,DDoS,0.8600,27.95,0.24,"DROP_RULE_INSTALLED(ip=10.0.190.13, priority=100, timeout=300s)"
2026-05-24T22:42:42.966889,10.0.179.141,victim,DDoS,0.8600,27.61,0.17,"DROP_RULE_INSTALLED(ip=10.0.179.141, priority=100, timeout=300s)"
2026-05-24T22:42:42.996492,10.0.232.210,victim,DDoS,0.8400,26.41,0.14,"DROP_RULE_INSTALLED(ip=10.0.232.210, priority=100, timeout=300s)"
2026-05-24T22:42:45.742674,10.0.207.37,victim,DDoS,0.8600,28.23,0.17,"DROP_RULE_INSTALLED(ip=10.0.207.37, priority=100, timeout=300s)"
2026-05-24T22:42:45.775113,10.0.247.117,victim,DDoS,0.8600,28.68,0.21,"DROP_RULE_INSTALLED(ip=10.0.247.117, priority=100, timeout=300s)"
2026-05-24T22:42:46.047895,10.0.201.204,victim,DDoS,0.8600,26.07,0.17,"DROP_RULE_INSTALLED(ip=10.0.201.204, priority=100, timeout=300s)"
2026-05-24T22:42:46.077933,10.0.57.195,victim,DDoS,0.8600,26.81,0.15,"DROP_RULE_INSTALLED(ip=10.0.57.195, priority=100, timeout=300s)"
2026-05-24T22:42:46.106951,10.0.183.112,victim,DDoS,0.8600,26.03,0.15,"DROP_RULE_INSTALLED(ip=10.0.183.112, priority=100, timeout=300s)"
2026-05-24T22:42:46.135898,10.0.115.141,victim,DDoS,0.8600,26.00,0.14,"DROP_RULE_INSTALLED(ip=10.0.115.141, priority=100, timeout=300s)"
2026-05-24T22:42:46.168385,10.0.220.44,victim,DDoS,0.8600,28.86,0.27,"DROP_RULE_INSTALLED(ip=10.0.220.44, priority=100, timeout=300s)"
2026-05-24T22:42:46.203966,10.0.91.19,victim,DDoS,0.8600,30.39,0.17,"DROP_RULE_INSTALLED(ip=10.0.91.19, priority=100, timeout=300s)"
2026-05-24T22:42:46.233395,10.0.2.164,victim,DDoS,0.7400,26.65,0.14,"DROP_RULE_INSTALLED(ip=10.0.2.164, priority=100, timeout=300s)"
2026-05-24T22:42:48.715619,10.0.3.2,victim,DDoS,0.8600,26.49,0.15,"DROP_RULE_INSTALLED(ip=10.0.3.2, priority=100, timeout=300s)"
2026-05-24T22:42:48.858619,10.0.197.198,victim,DDoS,0.8600,26.00,0.14,"DROP_RULE_INSTALLED(ip=10.0.197.198, priority=100, timeout=300s)"
2026-05-24T22:42:48.955074,10.0.99.175,victim,DDoS,0.8600,29.83,0.21,"DROP_RULE_INSTALLED(ip=10.0.99.175, priority=100, timeout=300s)"
2026-05-24T22:42:48.991946,10.0.129.26,victim,DDoS,0.8600,32.50,0.41,"DROP_RULE_INSTALLED(ip=10.0.129.26, priority=100, timeout=300s)"
2026-05-24T22:42:49.179725,10.0.153.205,victim,DDoS,0.8600,25.95,0.14,"DROP_RULE_INSTALLED(ip=10.0.153.205, priority=100, timeout=300s)"
2026-05-24T22:42:49.351102,10.0.65.15,victim,DDoS,0.8600,25.66,0.16,"DROP_RULE_INSTALLED(ip=10.0.65.15, priority=100, timeout=300s)"
2026-05-24T22:42:49.437920,10.0.161.210,victim,DDoS,0.8600,26.24,0.16,"DROP_RULE_INSTALLED(ip=10.0.161.210, priority=100, timeout=300s)"
2026-05-24T22:42:49.467271,10.0.23.203,victim,DDoS,0.8600,26.05,0.17,"DROP_RULE_INSTALLED(ip=10.0.23.203, priority=100, timeout=300s)"
2026-05-24T22:42:49.496741,10.0.147.212,victim,DDoS,0.8600,26.34,0.15,"DROP_RULE_INSTALLED(ip=10.0.147.212, priority=100, timeout=300s)"
2026-05-24T22:42:49.525755,10.0.107.159,victim,DDoS,0.8400,25.84,0.16,"DROP_RULE_INSTALLED(ip=10.0.107.159, priority=100, timeout=300s)"
2026-05-24T22:42:50.846594,10.0.0.153,victim,DDoS,0.8600,27.20,0.16,"DROP_RULE_INSTALLED(ip=10.0.0.153, priority=100, timeout=300s)"
2026-05-24T22:42:50.992275,10.0.175.203,victim,DDoS,0.8600,25.74,0.17,"DROP_RULE_INSTALLED(ip=10.0.175.203, priority=100, timeout=300s)"
2026-05-24T22:42:51.170654,10.0.129.235,victim,DDoS,0.8600,26.25,0.14,"DROP_RULE_INSTALLED(ip=10.0.129.235, priority=100, timeout=300s)"
2026-05-24T22:42:51.199680,10.0.121.2,victim,DDoS,0.8600,26.12,0.14,"DROP_RULE_INSTALLED(ip=10.0.121.2, priority=100, timeout=300s)"
