APf,ABf,GDP,NFi,NSi,label
0,0,319,607,521,1
0,0,185,481,475,1
0,0,334,466,459,1
0,0,268,1796,1571,1
0,0,473,1050,904,1
0,0,57,1909,1553,1
0,0,434,1349,1295,1
0,0,11,616,497,1
0,0,336,733,619,1
0,0,389,586,488,1
0,0,371,954,904,1
0,0,14,925,883,1
0,0,86,279,227,1
0,0,437,1167,942,1
0,0,292,806,793,1
0,0,75,353,337,1
0,0,56,135,117,1
0,0,470,1891,1532,1
0,0,359,782,678,1
0,0,62,561,533,1
0,0,462,774,762,1
0,0,327,1841,1680,1
0,0,483,1584,1346,1
0,0,452,1954,1684,1
0,0,221,382,327,1
0,0,52,100,85,1
0,0,420,1652,1531,1
0,0,146,1421,1263,1
0,0,205,376,313,1
0,0,449,1836,1487,1
0,0,112,1013,866,1
0,0,189,1722,1612,1
0,0,124,675,598,1
0,0,61,98,84,1
0,0,452,722,648,1
0,0,99,192,170,1
0,0,214,1363,1350,1
0,0,179,1441,1426,1
0,0,69,1973,1592,1
0,0,101,1846,1609,1
0,0,145,1239,1237,1
0,0,86,128,105,1
0,0,383,939,839,1
0,0,233,1660,1488,1
0,0,207,1291,1091,1
0,0,107,1892,1808,1
0,0,372,571,461,1
0,0,8,14,1,0
0,0,5,18,7,0
0,0,10,14,2,0
0,0,5,11,10,0
0,0,8,4,3,0
0,0,5,10,7,0
0,0,4,13,12,0
0,0,3,18,5,0
0,0,6,14,11,0
0,0,9,6,5,0
0,0,8,10,7,0
0,0,4,1,1,0
0,0,9,7,4,0
0,0,7,20,11,0
0,0,10,15,8,0
0,0,7,7,5,0
0,0,1,6,6,0
0,0,10,10,9,0
0,0,1,20,11,0
0,0,3,8,5,0
0,0,0,7,2,0
0,0,7,2,1,0
0,0,7,20,3,0
0,0,9,14,11,0
0,0,6,7,6,0
0,0,3,16,13,0
0,0,1,5,1,0
0,0,2,14,4,0
0,0,0,17,15,0
0,0,1,18,8,0
0,0,7,15,3,0
0,0,7,17,11,0
0,0,6,20,17,0
0,0,2,18,15,0
0,0,4,16,15,0
0,0,8,8,5,0
0,0,4,16,8,0
0,0,4,15,2,0
0,0,5,8,5,0
0,0,1,11,9,0
0,0,3,5,2,0
0,0,2,13,12,0
0,0,6,7,1,0
0,0,8,14,6,0
0,0,0,15,7,0
0,0,6,7,7,0
0,0,9,13,13,0
0,0,7,1,1,0
0,0,4,1,1,0
0,0,8,13,7,0
